member_id,imdb_title_id,role_name
333,tt0004457,actor
334,tt0004457,actor
335,tt0004465,actor
336,tt0004465,actor
337,tt0004465,actor
338,tt0004465,actor
339,tt0004465,actor
340,tt0004465,actor
341,tt0004465,actor
342,tt0004465,actor
343,tt0004465,actor
344,tt0004465,actor
345,tt0004465,actor
346,tt0004465,actor
347,tt0004465,actor
348,tt0004465,actor
349,tt0004465,actor
350,tt0004635,actor
351,tt0004635,actor
352,tt0004635,actor
353,tt0004635,actor
354,tt0004635,actor
355,tt0004635,actor
356,tt0004635,actor
357,tt0004635,actor
358,tt0004635,actor
359,tt0004635,actor
360,tt0004635,actor
361,tt0004635,actor
362,tt0004635,actor
363,tt0004635,actor
364,tt0004635,actor
248,tt0004681,actor
365,tt0004681,actor
366,tt0004681,actor
367,tt0004681,actor
368,tt0004681,actor
369,tt0004681,actor
370,tt0004681,actor
371,tt0004681,actor
372,tt0004681,actor
361,tt0004681,actor
373,tt0004681,actor
374,tt0004707,actor
375,tt0004707,actor
376,tt0004707,actor
377,tt0004707,actor
378,tt0004707,actor
379,tt0004707,actor
380,tt0004712,actor
381,tt0004712,actor
382,tt0004712,actor
383,tt0004712,actor
384,tt0004712,actor
385,tt0004712,actor
386,tt0004712,actor
387,tt0004712,actor
388,tt0004712,actor
389,tt0004712,actor
390,tt0004712,actor
391,tt0004712,actor
392,tt0004712,actor
393,tt0004712,actor
394,tt0004712,actor
395,tt0004743,actor
396,tt0004743,actor
397,tt0004743,actor
398,tt0004743,actor
399,tt0004743,actor
400,tt0004743,actor
401,tt0004743,actor
402,tt0004743,actor
403,tt0004743,actor
404,tt0004743,actor
405,tt0004743,actor
350,tt0004766,actor
406,tt0004766,actor
364,tt0004766,actor
407,tt0004766,actor
352,tt0004766,actor
408,tt0004766,actor
409,tt0004766,actor
410,tt0004766,actor
411,tt0004825,actor
412,tt0004825,actor
413,tt0004825,actor
414,tt0004825,actor
415,tt0004825,actor
416,tt0004825,actor
417,tt0004825,actor
418,tt0004838,actor
419,tt0004838,actor
420,tt0004838,actor
421,tt0004838,actor
422,tt0004838,actor
423,tt0004838,actor
424,tt0004838,actor
425,tt0004872,actor
426,tt0004872,actor
412,tt0004872,actor
427,tt0004872,actor
428,tt0004872,actor
417,tt0004872,actor
429,tt0004872,actor
430,tt0004872,actor
431,tt0004872,actor
432,tt0004872,actor
433,tt0004872,actor
434,tt0004873,actor
435,tt0004873,actor
436,tt0004873,actor
437,tt0004873,actor
438,tt0004873,actor
172,tt0004972,actor
174,tt0004972,actor
177,tt0004972,actor
180,tt0004972,actor
181,tt0004972,actor
228,tt0004972,actor
227,tt0004972,actor
439,tt0004972,actor
179,tt0004972,actor
440,tt0004972,actor
441,tt0004972,actor
442,tt0004972,actor
173,tt0004972,actor
178,tt0004972,actor
229,tt0004972,actor
443,tt0005060,actor
440,tt0005060,actor
444,tt0005060,actor
409,tt0005060,actor
407,tt0005060,actor
445,tt0005060,actor
446,tt0005060,actor
447,tt0005060,actor
410,tt0005060,actor
448,tt0005078,actor
418,tt0005078,actor
449,tt0005078,actor
450,tt0005078,actor
451,tt0005078,actor
452,tt0005078,actor
453,tt0005078,actor
454,tt0005078,actor
455,tt0005149,actor
456,tt0005149,actor
457,tt0005149,actor
458,tt0005149,actor
459,tt0005149,actor
460,tt0005149,actor
461,tt0005149,actor
462,tt0005339,actor
463,tt0005339,actor
338,tt0005339,actor
464,tt0005339,actor
340,tt0005339,actor
465,tt0005339,actor
466,tt0005339,actor
467,tt0005339,actor
468,tt0005339,actor
469,tt0005339,actor
470,tt0005402,actor
440,tt0005402,actor
409,tt0005402,actor
471,tt0005402,actor
472,tt0005402,actor
473,tt0005402,actor
407,tt0005402,actor
474,tt0005402,actor
281,tt0005529,actor
282,tt0005529,actor
475,tt0005529,actor
476,tt0005529,actor
477,tt0005529,actor
478,tt0005529,actor
479,tt0005529,actor
480,tt0005529,actor
481,tt0005529,actor
482,tt0005529,actor
483,tt0005529,actor
284,tt0005529,actor
484,tt0005529,actor
283,tt0005529,actor
485,tt0005529,actor
486,tt0005557,actor
232,tt0005557,actor
231,tt0005557,actor
487,tt0005557,actor
488,tt0005557,actor
240,tt0005680,actor
489,tt0005680,actor
490,tt0005680,actor
491,tt0005680,actor
492,tt0005680,actor
493,tt0005680,actor
494,tt0005719,actor
495,tt0005719,actor
439,tt0005719,actor
496,tt0005719,actor
185,tt0005719,actor
497,tt0005719,actor
498,tt0005719,actor
499,tt0005719,actor
500,tt0005719,actor
501,tt0005719,actor
502,tt0005809,actor
503,tt0005809,actor
504,tt0005809,actor
505,tt0005809,actor
506,tt0005916,actor
507,tt0005916,actor
508,tt0005916,actor
509,tt0005916,actor
510,tt0005916,actor
511,tt0005916,actor
512,tt0005916,actor
142,tt0005951,actor
513,tt0005951,actor
514,tt0005951,actor
515,tt0005951,actor
516,tt0005960,actor
517,tt0005960,actor
518,tt0005960,actor
519,tt0005960,actor
520,tt0005960,actor
521,tt0005960,actor
522,tt0005960,actor
523,tt0005960,actor
524,tt0006206,actor
171,tt0006206,actor
525,tt0006206,actor
526,tt0006206,actor
527,tt0006206,actor
528,tt0006206,actor
125,tt0006206,actor
529,tt0006206,actor
530,tt0006206,actor
531,tt0006206,actor
532,tt0006206,actor
533,tt0006206,actor
258,tt0006206,actor
