imdb_title_id,usa_gross,worldwide_gross,budget
tt0019563,$ 259000,,
tt0019571,$ 259000,,
tt0019574,$ 365000,,
tt0019585,,,
tt0019591,$ 383000,,
tt0019609,,,
tt0019611,,,
tt0019629,,,
tt0019630,,,
tt0019644,,,
tt0019646,,,
tt0019649,,,
tt0019655,,,
tt0019658,GBP 2000,,
tt0019684,,,
tt0019690,,,
tt0019699,$ 400000,,
tt0019702,,,
tt0019725,$ 1000000,,
tt0019726,,,
tt0019729,$ 379000,,
tt0019735,$ 550000,,
tt0019745,,,
tt0019746,,,
tt0019777,$ 500000,,
tt0019785,$ 600000,,
tt0019788,$ 489106,,
tt0019796,,,
tt0019798,,,
tt0019800,,,
tt0019811,,,
tt0019815,$ 487000,,
tt0019823,,,
tt0019824,,,
tt0019839,,,
tt0019843,,,
tt0019850,,,
tt0019852,,,
tt0019856,,,
tt0019884,,,
tt0019886,$ 385000,,
tt0019889,,,
tt0019901,,,
tt0019909,,,
tt0019929,,,
tt0019933,,,
tt0019935,$ 750000,,
tt0019936,,$ 5537200,$ 8648060
tt0019939,,,
tt0019945,,,
tt0019946,,,
tt0019949,,,
tt0019957,,,
tt0019959,,,
tt0019976,,,
tt0019979,,,
tt0019983,,,
tt0019992,,,
tt0019993,,,$ 5277780
tt0020004,,,
tt0020011,,,
tt0020014,,,
tt0020018,,,
tt0020025,,,
tt0020030,,$ 3270000,
tt0020034,,,
tt0020062,$ 257000,,
tt0020075,,,
tt0020078,,,
tt0020080,,,
tt0020081,,,
tt0020092,,,
tt0020099,,,
tt0020103,,,
tt0020112,$ 650000,,
tt0020114,,,
tt0020122,,,
tt0020126,,,
tt0020142,,,
tt0020143,,,
tt0020144,,,
tt0020163,,,
tt0020166,,,
tt0020182,,,
tt0020193,,,
tt0020197,,,
tt0020198,$ 1130000,,
tt0020210,,,
tt0020217,,,
tt0020223,$ 1005000,,
tt0020228,,,
tt0020230,,,
tt0020232,,,
tt0020238,$ 493000,,
tt0020247,,,
tt0020253,$ 293000,,
tt0020269,,,
tt0020286,,,$ 2306
tt0020293,,,
tt0020298,$ 800000,,
tt0020305,,,
tt0020320,$ 472000,,
tt0020332,,,
tt0020335,,,
tt0020336,,,
tt0020344,,,
tt0020358,$ 647000,,
tt0020359,,,
tt0020364,,,
tt0020388,$ 251000,,
tt0020392,$ 50000,,
tt0020402,,,
tt0020403,$ 850000,,
tt0020405,,,
tt0020410,$ 336000,,
tt0020425,,,
tt0020431,,,
tt0020439,,,
tt0020442,,,
tt0020446,,,
tt0020451,,,
tt0020458,$ 211000,,
tt0020461,,,
tt0020466,,$ 3000000,
tt0020475,,,
tt0020479,$ 504000,,
tt0020480,,,
tt0020488,,,
tt0020490,,,
tt0020492,,,
tt0020499,,,
tt0020502,,,
tt0020510,,,
tt0020514,$ 725000,,
tt0020516,,,
tt0020534,,,
tt0020538,$ 229000,,
tt0020542,,,
tt0020543,,,
tt0020547,,,
tt0020556,$ 425000,,
tt0020563,,,
tt0020570,,,
tt0020572,$ 979828,,
tt0020581,$ 295000,,
tt0020585,,,
tt0020589,$ 322000,,
tt0020590,,,
tt0020608,,,
tt0020613,,,
tt0020620,,,
tt0020629,$ 1200000,,
tt0020640,,,
tt0020641,$ 376000,,
tt0020642,,,
tt0020656,,,
tt0020661,,,
tt0020668,,,
tt0020670,,,
tt0020673,,,
tt0020679,,,
tt0020686,$ 414000,,
tt0020690,,,
tt0020691,$ 2000000,,
tt0020693,,,
tt0020695,,,
tt0020697,,,$ 4410
tt0020701,,,
tt0020702,,,
tt0020713,,,
tt0020724,$ 464000,,
tt0020740,,,
tt0020754,,,
tt0020758,,,
tt0020763,,,
tt0020768,,,
tt0020785,,,
tt0020793,,,
tt0020799,$ 407000,,
tt0020806,,,
tt0020814,,,
tt0020815,$ 611722,,
tt0020821,,,
tt0020823,,,
tt0020827,$ 340691,,
tt0020828,,,
tt0020836,$ 240000,,
tt0020838,,,
tt0020842,,,
tt0020852,,,
tt0020866,,,
tt0020869,,,
tt0020873,,,
tt0020875,,,
tt0020876,$ 647000,,
tt0020890,,,
tt0020891,,,
tt0020894,,,
tt0020896,,,
tt0020900,,,
tt0020902,,,
tt0020919,,,
tt0020924,,,
tt0020926,,,
tt0020929,,,
tt0020938,,,
tt0020945,$ 529000,,
tt0020949,,,
tt0020959,,,
tt0020960,$ 3950000,,
tt0020966,,,
tt0020980,,,
tt0020985,,,
tt0020987,$ 287000,,
tt0021001,,,
tt0021013,,,
tt0021016,$ 1100000,,
tt0021025,$ 2000000,,
tt0021040,,,
tt0021042,,,
tt0021044,,,
tt0021048,,,
tt0021053,,,
tt0021060,,,
tt0021061,,,
tt0021069,,,
tt0021070,,,
tt0021074,,,
tt0021079,,,
tt0021087,,,
tt0021090,,,
tt0021092,,,
tt0021094,,,
tt0021100,,,
tt0021102,,,
tt0021106,$ 980000,,$ 1005
tt0021110,,,
tt0021121,,,
tt0021128,,,
tt0021132,$ 208000,,
tt0021133,,,
tt0021134,,,
tt0021140,,,
tt0021148,,,
tt0021149,,,
tt0021152,,,
tt0021153,$ 726465,,
tt0021156,,,
tt0021165,,,
tt0021178,,,
tt0021189,,,
tt0021191,,,
tt0021197,,,
tt0021216,,,
tt0021217,,,
tt0021223,$ 337000,,
tt0021224,,,
tt0021225,,,
tt0021228,$ 355000,,
tt0021232,,,
tt0021239,,,
tt0021240,,,
tt0021247,,,
tt0021263,,,
tt0021268,,,
tt0021273,,,
tt0021276,$ 800000,,
tt0021280,,,
tt0021281,,$ 1000000,
tt0021282,,,
tt0021283,,,
tt0021287,,,
tt0021292,,,
tt0021294,,,
tt0021295,,,
tt0021297,,,
tt0021303,,,
tt0021304,,,
tt0021307,,,
tt0021309,,,$ 2094
tt0021310,$ 496000,,
tt0021322,,,
tt0021324,,,
tt0021331,,,
tt0021335,,,
tt0021345,,,
tt0021365,,,
tt0021371,,,
tt0021374,$ 423000,,
tt0021376,,,
tt0021377,$ 450000,,
tt0021381,,,
tt0021382,,,
tt0021394,,,
tt0021400,,,
tt0021401,,,
tt0021406,,,
tt0021408,,,
tt0021409,,,
tt0021413,,,
tt0021420,,,
tt0021435,,,
tt0021439,,,
tt0021463,,,
tt0021464,,,
tt0021472,,,
tt0021483,,$ 11000000,
tt0021484,,,
tt0021486,,,
tt0021492,,,
tt0021493,,,
tt0021505,,,
tt0021508,,,
tt0021511,$ 1200000,,
tt0021525,,,
tt0021531,,,
tt0021533,$ 400000,,
tt0021534,,,
tt0021542,,,
tt0021549,,,
tt0021550,,,
tt0021551,,,
tt0021568,,,
tt0021571,,,
tt0021577,,$ 32712,$ 32712
tt0021580,,,
tt0021594,,,
tt0021595,,$ 987540,$ 1277480
tt0021599,,,
tt0021606,,,
tt0021607,,,
tt0021615,$ 400000,,
tt0021622,,,
tt0021632,,,
tt0021633,$ 502000,,
tt0021635,,,
tt0021636,,,
tt0021647,,,
tt0021649,,,
tt0021653,,,
tt0021654,,,$ 2447
tt0021657,,,
tt0021659,,,
tt0021668,,,
tt0021673,,,
tt0021681,,,
tt0021684,,,
tt0021695,$ 243093,,
tt0021697,,,
tt0021707,,,
tt0021725,$ 281000,,
tt0021730,,,
tt0021732,,,
tt0021733,,,
tt0021735,,,
tt0021739,,,
tt0021743,,,
tt0021746,$ 1433000,,
tt0021749,$ 1500000,$ 19181,$ 46008
tt0021750,,,
tt0021754,$ 120000,,
tt0021756,,,
tt0021759,,,
tt0021761,,,
tt0021764,,,
tt0021768,,,
tt0021770,,,
tt0021772,,,
tt0021775,,,
tt0021778,,,
tt0021780,,,
tt0021785,,,
tt0021786,$ 515000,,
tt0021793,,,
tt0021798,$ 394000,,
tt0021799,$ 1000000,,
tt0021807,,,
tt0021814,$ 355000,,$ 85204
tt0021815,$ 66000,,
tt0021818,,,
tt0021820,,,
tt0021825,$ 310000,,
tt0021826,,,
tt0021828,,,
tt0021829,$ 201000,,
tt0021836,,,
tt0021840,$ 140000,,
tt0021845,,,
tt0021847,,,
tt0021859,,,
tt0021861,,,
tt0021864,,,
tt0021865,,,
tt0021873,,,
tt0021874,,,
tt0021879,$ 634000,,
tt0021884,$ 291000,,$ 1626
tt0021885,$ 529000,,
tt0021889,,,
tt0021890,,$ 1526000,
tt0021895,,,
tt0021900,$ 184000,,
tt0021906,,,
tt0021910,,,
tt0021917,$ 220000,,
tt0021919,,,
tt0021927,,,
tt0021928,,,
tt0021931,,,
tt0021932,,,
tt0021933,,,
tt0021952,,,
tt0021963,,,
tt0021966,,,
tt0021969,,,
tt0021973,,,
tt0021978,,,
tt0021985,,,
tt0021986,,,
tt0021988,,,
tt0021992,$ 249000,,
tt0022000,,,
tt0022001,$ 438000,,
tt0022002,,,
tt0022017,,,
tt0022021,,,
tt0022026,$ 810568,,
tt0022029,,,
tt0022034,,,
tt0022042,,,
tt0022043,,,
tt0022046,,,
tt0022048,,,
tt0022054,,,
tt0022056,,,
tt0022059,$ 338000,,
tt0022074,,,
tt0022080,,,
tt0022085,,,
tt0022086,,,
tt0022100,,$ 35566,$ 35566
tt0022103,,,
tt0022105,,,
tt0022111,,,
tt0022117,,,
tt0022119,,,
tt0022120,,,
tt0022121,,,
tt0022125,,$ 8262,$ 8262
tt0022134,,,
tt0022135,,,
tt0022139,,,
tt0022149,,,
tt0022150,,,
tt0022151,,,
tt0022153,,,
tt0022158,,,
tt0022172,,,
tt0022173,,,
tt0022177,,,
tt0022178,,,
tt0022180,,,
tt0022183,,,
tt0022185,,,
tt0022191,,,
tt0022197,,,
tt0022198,,,
tt0022204,,,
tt0022208,$ 260000,,
tt0022214,,,
tt0022215,,,
tt0022223,,,
tt0022235,,,
tt0022236,,,
tt0022243,,,
tt0022246,,,
tt0022251,,,
tt0022254,,,
tt0022259,$ 293000,,
tt0022261,,,
tt0022264,,,
tt0022265,,,
tt0022268,GBP 600000,,
tt0022273,,,
tt0022274,,,
tt0022276,,,
tt0022279,,,
tt0022285,,,
tt0022286,,,
tt0022289,,,
tt0022290,,,
tt0022293,,,
tt0022296,,,
tt0022297,,,
tt0022303,,,
tt0022308,,,
tt0022317,,,
tt0022321,,,
tt0022326,,,
tt0022331,,,
tt0022335,,,
tt0022339,,,
tt0022353,,,
tt0022357,$ 494000,,
tt0022360,,,
tt0022373,,,
tt0022381,,,
tt0022382,$ 276000,,
tt0022386,,,
tt0022391,,,
tt0022395,,,
tt0022397,,,
tt0022403,,,
tt0022404,,,
tt0022409,,,
tt0022412,$ 503000,,
tt0022418,,,
tt0022425,$ 302000,,
tt0022428,,,
tt0022430,,,
tt0022432,,,
tt0022433,,,
tt0022435,,,
tt0022436,$ 584000,,
tt0022437,,,
tt0022440,,,
tt0022444,,,
tt0022453,$ 572638,,
tt0022454,,,
tt0022458,$ 150000,,
tt0022463,,,
tt0022469,,,
tt0022478,$ 354162,,
tt0022481,,,
tt0022484,,,
tt0022485,,,
tt0022489,,,
tt0022495,$ 1312636,,
tt0022500,,,
tt0022501,,,
tt0022517,,,
tt0022523,,,
tt0022535,,,
tt0022537,,,
tt0022550,$ 251289,,
tt0022551,,,
tt0022572,,,
tt0022582,,,
tt0022599,,,
tt0022613,,,
tt0022614,,,
tt0022615,$ 305000,,
tt0022619,,,
tt0022626,,,
tt0022628,$ 458000,,
tt0022635,,,
tt0022639,$ 433000,,
tt0022641,$ 460733,,
tt0022644,,,
tt0022651,,,
tt0022660,$ 230000,,
tt0022663,,,
tt0022675,,,
tt0022676,,,
tt0022681,,,
tt0022682,,,
tt0022685,$ 300000,,
tt0022689,,,
tt0022694,,,
tt0022696,,,
tt0022698,,,
tt0022699,,,
tt0022700,$ 602620,,
tt0022718,,,$ 2805
tt0022725,$ 889154,,
tt0022731,,,
tt0022733,,,
tt0022735,,,
tt0022737,$ 489652,,
tt0022748,,,
tt0022751,,,
tt0022753,$ 349456,,
tt0022755,,,
tt0022775,$ 286000,,
tt0022778,$ 619000,,
tt0022784,,,
tt0022787,,,
tt0022788,,,
tt0022789,,,
tt0022792,,,
tt0022796,,,
tt0022799,,,
tt0022802,,,
tt0022814,,,
tt0022824,,,
tt0022827,,,
tt0022834,,,
tt0022835,$ 535000,,$ 16615
tt0022854,$ 350000,,
tt0022864,,,
tt0022867,,,
tt0022869,,,
tt0022873,$ 203420,,
tt0022876,,,
tt0022877,,$ 8262,$ 8262
tt0022879,$ 799520,,
tt0022882,,,
tt0022888,,,
tt0022890,$ 214000,,
tt0022897,$ 480000,,
tt0022905,,,
tt0022913,$ 310607,,$ 4072
tt0022918,,,
tt0022924,,,
tt0022934,$ 41000,,
tt0022938,,,
tt0022941,,,
tt0022958,$ 700000,,
tt0022961,,,
tt0022970,,,
tt0022971,,,
tt0022979,,,
tt0022981,,,
tt0022987,,,
tt0022990,,,
tt0022991,,,
tt0023002,,,
tt0023007,,,
tt0023013,,,
tt0023027,,,
tt0023028,,,
